Product,Avg Demand,Std Dev,Total Demand,Safety Stock,Reorder Point,EOQ
536575,107.25,66.93,858,131,882,207
536576,70.12,46.42,1122,91,582,237
536577,97.0,54.88,388,107,786,139
536578,13.0,9.5,104,19,110,72
536579,138.0,110.31,276,216,1182,117
536580,11.0,2.45,66,5,82,57
536582,10.82,7.21,184,14,90,96
536586,6.29,2.14,44,4,48,47
536587,14.23,8.87,313,17,117,125
536588,9.36,3.91,103,8,74,72
536590,5.29,4.2,74,8,45,61
536591,2.33,4.42,93,9,25,68
536592,2.5,3.79,1478,7,24,272
536593,3.8,2.05,19,4,31,31
536594,6.8,3.03,34,6,54,41
536595,9.82,17.9,108,35,104,73
536596,1.5,1.22,9,2,12,21
536597,2.54,2.8,71,5,23,60
536598,19.0,6.0,76,12,145,62
536599,13.33,11.5,80,23,116,63
536600,4.67,1.78,56,3,36,53
536601,6.0,0.0,12,0,42,24
536602,5.33,1.3,64,3,40,57
536603,6.0,0.0,12,0,42,24
536604,12.67,5.57,114,11,100,75
536605,7.13,3.5,107,7,57,73
536607,5.17,3.2,93,6,42,68
536608,10.0,3.46,30,7,77,39
536609,5.5,1.15,88,2,40,66
536610,6.0,0.0,12,0,42,24
536611,10.93,4.94,153,10,86,87
536612,5.47,1.19,82,2,40,64
536613,11.59,5.6,197,11,92,99
536614,6.0,0.0,12,0,42,24
536615,9.0,12.71,108,25,88,73
536617,58.55,49.32,644,97,507,179
536618,28.57,11.05,600,22,222,173
536619,24.0,16.97,48,33,201,49
536620,32.22,42.58,741,83,309,192
536621,29.8,20.79,298,41,250,122
536623,13.88,7.35,666,14,111,182
536624,10.36,7.29,228,14,87,107
536627,4.57,4.13,64,8,40,57
536628,5.38,1.41,86,3,41,66
536629,6.0,0.0,12,0,42,24
536630,5.5,1.15,88,2,40,66
536631,6.0,0.0,12,0,42,24
536632,8.1,4.1,170,8,65,92
536633,5.83,6.99,105,14,55,72
536634,11.36,14.43,159,28,108,89
536635,12.3,8.86,246,17,103,111
536637,2.46,3.67,165,7,24,91
536638,9.83,6.59,619,13,82,176
536639,6.62,4.47,106,9,55,73
536640,1.0,0.0,11,0,7,23
536643,2.74,1.65,74,3,22,61
536663,26.0,7.04,156,14,196,88
536667,13.38,8.97,214,18,112,103
536671,26.4,13.15,132,26,211,81
536672,10.0,9.38,40,18,88,45
536673,63.0,38.35,504,75,516,159
536674,5.81,11.76,122,23,64,78
536676,6.0,4.87,54,10,52,52
536681,3.54,3.02,46,6,31,48
536685,6.35,2.57,108,5,49,73
536688,6.0,0.0,12,0,42,24
536690,5.41,1.18,92,2,40,68
536693,6.0,0.0,12,0,42,24
536698,9.0,5.43,144,11,74,85
536707,3.15,3.21,41,6,28,45
536732,10.54,5.35,274,10,84,117
536733,18.21,14.99,255,29,156,113
536736,259.2,193.05,1296,378,2192,255
536738,6.0,8.23,42,16,58,46
536739,2.58,1.73,31,3,21,39
536740,9.57,4.39,67,9,76,58
536741,8.67,3.09,130,6,67,81
536742,2.06,2.46,103,5,19,72
536743,5.57,10.03,195,20,59,99
536744,13.7,15.36,137,30,126,83
536745,12.6,8.06,126,16,104,79
536746,7.08,6.68,92,13,63,68
536747,6.25,6.17,75,12,56,61
536748,5.2,4.15,26,8,44,36
536749,1.63,1.17,106,2,13,73
536750,6.21,2.39,118,5,48,77
536751,6.0,0.0,12,0,42,24
536752,5.47,1.12,104,2,40,72
536753,6.0,0.0,12,0,42,24
536754,2.84,2.41,142,5,25,84
536755,1.0,0.0,15,0,7,27
536756,1.21,0.54,23,1,9,34
536759,6.65,6.0,113,12,59,75
536761,5.14,3.85,36,8,44,42
536762,11.55,5.61,231,11,92,107
536763,27.58,31.58,331,62,255,129
536769,12.1,6.86,375,13,98,137
536771,9.43,3.21,66,6,72,57
536777,19.4,6.77,97,13,149,70
536778,8.93,6.43,125,13,76,79
536780,1.0,0.0,4,0,7,14
536782,9.04,5.08,244,10,73,110
536783,76.55,56.2,2909,110,646,381
536784,53.2,47.77,1330,94,466,258
536785,168.0,85.83,1008,168,1344,224
536786,72.0,33.94,144,66,570,85
536787,5.85,1.28,76,3,44,62
536789,6.0,0.0,12,0,42,24
536790,8.29,3.7,141,7,65,84
536791,12.0,0.0,24,0,84,35
536793,6.36,3.67,70,7,52,59
536794,24.0,16.97,96,33,201,69
536795,25.71,8.6,180,17,197,95
536796,1.45,1.28,176,3,13,94
536797,9.33,4.13,56,8,73,53
536798,15.23,14.02,472,27,134,154
536799,6.78,4.91,122,10,57,78
536800,10.0,4.96,190,10,80,97
536801,9.57,6.98,134,14,81,82
536802,6.25,3.77,50,7,51,50
536804,21.24,20.61,531,40,189,163
536805,19.2,13.71,384,27,161,139
536806,16.8,10.73,84,21,139,65
536808,5.33,4.01,64,8,45,57
536813,13.53,11.97,230,23,118,107
536819,11.18,7.19,190,14,92,97
536821,3.48,2.45,80,5,29,63
536823,4.33,1.53,13,3,33,25
536830,2140.0,1046.52,4280,2049,17029,463
536831,65.0,43.0,260,84,539,114
536832,8.0,7.25,64,14,70,57
536833,7.17,4.12,208,8,58,102
536836,4.93,7.61,133,15,49,82
536837,6.44,7.09,174,14,59,93
536838,32.0,13.86,96,27,251,69
536839,54.94,71.43,879,140,525,210
536840,13.45,9.46,148,19,113,86
536841,7.91,3.88,174,8,63,93
536842,11.82,12.5,130,24,107,81
536843,7.0,7.07,14,14,63,26
536844,12.67,16.77,38,33,122,44
536845,1.55,1.21,45,2,13,47
536846,1.76,1.61,134,3,15,82
536847,24.67,12.17,222,24,197,105
536848,93.33,11.55,280,23,676,118
536849,35.33,14.84,106,29,276,73
536851,24.0,19.33,360,38,206,134
536852,15.29,8.96,107,18,125,73
536856,8.79,7.91,343,15,77,131
536857,3.18,1.55,54,3,25,52
536858,18.33,14.28,110,28,156,74
536859,7.75,9.79,186,19,73,96
536860,10.8,14.97,108,29,105,73
536861,7.9,3.14,79,6,61,63
536862,1.85,1.53,150,3,16,87
536863,1.67,2.22,80,4,16,63
536864,1.4,0.8,66,2,12,57
536865,2.26,2.8,317,5,21,126
536874,1.33,1.05,92,2,11,68
536876,2.77,4.17,1641,8,27,286
536884,1.67,0.58,5,1,13,16
536885,18.18,10.14,200,20,147,100
536890,516.0,800.41,1548,1567,5179,278
536920,5.8,4.57,58,9,50,54
536938,33.14,21.48,464,42,274,152
536943,6.07,12.21,170,24,66,92
536944,80.0,18.71,400,37,597,141
536945,2.71,4.46,179,9,28,95
536946,12.52,5.9,363,12,100,135
536947,11.55,9.27,439,18,99,148
536956,6.2,3.41,93,7,50,68
536957,18.0,6.0,234,12,138,108
536960,8.93,5.55,125,11,74,79
536967,15.5,20.51,31,40,148,39
536968,84.0,50.91,168,100,688,92
536971,17.5,9.78,140,19,142,84
536972,2.5,1.4,35,3,20,42
536973,11.48,10.19,356,20,100,133
536974,8.25,4.07,132,8,66,81
536975,11.65,9.93,827,19,101,203
536976,4.0,2.71,76,5,33,62
536977,4.29,3.65,60,7,37,55
536980,19.92,15.79,239,31,170,109
536981,1.62,1.13,39,2,13,44
536982,12.65,19.71,1834,39,128,303
536983,6.67,4.03,60,8,55,55
536984,4.69,7.14,136,14,47,82
536985,3.82,1.72,42,3,30,46
536986,14.86,11.19,104,22,126,72
536987,2.34,5.05,124,10,26,79
536988,2.63,3.83,100,7,25,71
536989,1.18,0.39,26,1,9,36
536990,9.29,4.42,65,9,74,57
536991,4.0,1.2,32,2,30,40
536993,1.15,0.44,39,1,9,44
536994,6.0,4.36,18,9,51,30
537022,6.83,4.8,164,9,57,91
537023,2.56,6.22,64,12,30,57
537025,3.2,4.25,48,8,30,49
537026,44.0,48.29,528,95,403,162
537030,10.92,1.75,142,3,79,84
537031,18.0,6.57,108,13,139,73
537034,18.33,20.64,1338,40,168,259
537036,2.42,3.49,75,7,24,61
537037,8.36,5.97,92,12,71,68
537038,17.86,27.84,125,55,180,79
537040,96.0,67.88,192,133,805,98
537041,2.0,1.36,52,3,17,51
537042,1.6,2.15,83,4,15,64
537044,4.89,3.03,93,6,40,68
537045,1.31,0.68,46,1,10,48
537046,3.93,4.27,55,8,36,52
537047,4.41,3.67,181,7,38,95
537048,1.0,0.0,2,0,7,10
537049,6.93,4.12,97,8,56,70
537050,8.57,10.85,437,21,81,148
537051,3.76,6.6,158,13,39,89
537052,46.4,26.17,232,51,376,108
537053,41.33,68.13,124,133,422,79
537054,2.0,1.3,82,3,17,64
537055,7.13,6.01,107,12,62,73
537057,2.53,3.11,129,6,24,80
537058,16.42,26.22,197,51,166,99
537059,2.46,2.38,59,5,22,54
537065,9.7,7.91,611,15,83,175
537067,1.33,0.52,8,1,10,20
537077,6.27,6.26,163,12,56,90
537081,17.68,9.59,442,19,143,149
537086,21.0,12.24,168,24,171,92
537111,3.65,2.37,84,5,31,65
537126,1.8,1.52,212,3,16,103
537127,80.0,67.88,160,133,693,89
537128,5.87,8.06,135,16,57,82
537129,13.65,12.78,232,25,121,108
537130,1.47,0.77,28,2,12,37
537131,11.45,22.75,435,45,125,147
537133,1.33,0.64,73,1,10,60
537134,11.89,14.2,107,28,111,73
537135,4.03,5.68,471,11,39,153
537136,4.11,5.54,152,11,40,87
537137,5.94,7.1,392,14,56,140
537138,6.18,6.65,204,13,56,101
537139,8.33,6.35,25,12,70,35
537140,1.38,0.91,54,2,12,52
537141,3.75,2.89,165,6,32,91
537142,1.07,0.26,16,1,8,28
537144,2.01,3.06,211,6,20,103
537153,9.18,9.78,413,19,83,144
537154,5.55,6.56,355,13,52,133
537155,2.0,2.37,66,5,19,57
537156,4.58,3.78,87,7,39,66
537158,8.6,4.6,86,9,69,66
537159,2.14,1.84,60,4,19,55
537160,4.92,3.01,128,6,40,80
537163,13.14,5.71,276,11,103,117
537176,3.33,3.15,70,6,29,59
537179,21.85,18.86,284,37,190,119
537192,1.84,1.96,105,4,17,72
537193,6.27,6.51,232,13,57,108
537195,9.39,18.02,310,35,101,124
537196,1.85,2.88,159,6,19,89
537197,4.71,3.8,80,7,40,63
537198,5.5,6.36,11,12,50,23
537199,3.03,3.76,115,7,28,76
537200,1.62,0.82,47,2,13,48
537201,13.89,7.04,972,14,111,220
537202,2.24,2.34,112,5,21,75
537204,9.16,6.24,293,12,76,121
537205,10.55,5.3,116,10,84,76
537206,6.25,4.03,25,8,52,35
537207,1.74,1.48,40,3,15,45
537208,2.26,3.15,149,6,22,86
537209,1.98,3.56,83,7,21,64
537210,6.31,9.46,101,19,63,71
537211,9.06,8.77,145,17,80,85
537212,9.97,5.79,299,11,81,122
537213,1.17,0.41,7,1,9,19
537214,157.54,192.6,2048,377,1480,320
537215,15.43,11.12,108,22,130,73
537216,13.33,12.14,240,24,117,110
537217,4.0,0.0,16,0,28,28
537218,12.25,5.31,196,10,96,99
537219,3.65,5.37,252,11,37,112
537221,2.0,1.73,14,3,17,26
537222,2.19,2.93,57,6,21,53
537223,5.11,3.06,46,6,42,48
537224,4.14,6.03,700,12,41,187
537225,4.94,9.36,316,18,53,126
537226,9.56,8.97,86,18,85,66
537227,35.0,36.24,700,71,316,187
537231,6.22,4.07,112,8,52,75
537233,16.44,8.65,148,17,132,86
537235,292.8,123.14,1464,241,2291,271
537236,9.1,7.09,91,14,78,67
537237,2.69,4.29,1608,8,27,284
537238,5.87,6.73,88,13,54,66
537239,5.15,3.16,67,6,42,58
537240,3.19,5.74,1811,11,33,301
537241,11.47,4.02,172,8,88,93
537242,9.72,6.07,282,12,80,119
537243,12.0,0.0,24,0,84,35
537244,31.73,41.3,349,81,303,132
537245,16.0,6.93,48,14,126,49
537246,7.57,3.46,53,7,60,51
537247,64.0,13.86,192,27,475,98
537248,9.75,7.5,39,15,83,44
537250,6.36,2.41,89,5,50,67
537253,7.42,5.59,178,11,63,94
537254,3.56,4.09,210,8,33,102
537255,8.15,5.29,163,10,67,90
537256,72.36,139.42,796,273,780,199
537257,6.44,4.1,58,8,53,54
537258,9.2,10.24,92,20,84,68
537262,4.75,13.54,266,27,60,115
537265,4.94,7.17,242,14,49,110
537298,6.0,3.57,54,7,49,52
537301,4.8,8.7,72,17,51,60
537312,28.22,27.9,254,55,253,113
537313,4.2,1.79,21,4,33,32
537332,10.0,7.71,120,15,85,77
537334,3.32,4.96,146,10,33,85
537335,1.39,0.99,32,2,12,40
537346,14.79,12.51,503,25,129,159
537350,29.17,51.88,350,102,306,132
537351,3.06,5.88,98,12,33,70
537354,2.24,1.44,85,3,19,65
537359,7.2,4.89,72,10,60,60
537362,8.83,22.45,530,44,106,163
537365,9.57,3.85,201,8,75,100
537366,8.83,5.1,106,10,72,73
537368,9.0,7.0,135,14,77,82
537369,1.79,1.88,104,4,17,72
537370,3.23,3.42,168,7,30,92
537371,8.5,12.53,119,25,84,77
537372,3.32,2.23,73,4,27,60
537374,3.16,5.45,275,11,33,117
537375,4.55,4.52,223,9,41,106
537376,17.38,10.51,278,21,143,118
537377,8.29,6.63,116,13,71,76
537378,23.8,17.22,476,34,201,154
537380,24.0,0.0,48,0,168,49
537381,15.5,14.9,372,29,138,136
537382,3.4,3.45,197,7,31,99
537384,11.2,5.22,56,10,88,53
537385,2.85,2.38,37,5,25,43
537387,6.0,4.72,84,9,51,65
537388,11.67,4.51,210,9,91,102
537389,3.16,2.83,60,6,28,55
537390,5.0,5.29,40,10,45,45
537391,5.35,3.71,257,7,44,113
537392,3.33,1.83,80,4,27,63
537393,28.59,21.5,972,42,242,220
537394,10.8,2.68,54,5,81,52
537395,1.51,0.87,80,2,13,63
537396,2.13,1.87,64,4,19,57
537397,16.4,10.41,164,20,135,91
537399,3.4,3.29,204,6,30,101
537400,5.22,10.43,261,20,57,114
537403,1.91,0.94,21,2,15,32
537404,3.45,7.17,38,14,38,44
537405,2.87,5.79,132,11,31,81
537407,5.67,3.2,34,6,46,41
537409,15.44,11.38,247,22,130,111
537411,1.33,0.58,4,1,10,14
537415,7.0,4.0,63,8,57,56
537418,1.83,2.08,66,4,17,57
537419,14.93,7.24,209,14,118,102
537420,10.22,12.24,184,24,96,96
537421,2.57,1.93,131,4,22,81
537422,4.36,6.29,144,12,43,85
537423,17.33,7.45,104,15,136,72
537424,19.0,25.16,57,49,182,53
537428,9.55,7.26,210,14,81,102
537429,5.67,7.04,119,14,54,77
537433,36.5,31.93,146,63,318,85
537434,2.77,3.64,1869,7,26,306
537435,5.86,3.06,82,6,47,64
537440,4.19,4.48,67,9,38,58
537441,6.24,7.25,256,14,58,113
537442,1.0,0.0,2,0,7,10
537446,7.18,5.1,201,10,60,100
537447,7.71,3.35,54,7,61,52
537456,390.0,16.97,780,33,2763,197
537457,48.11,38.43,914,75,412,214
537458,7.77,5.92,101,12,66,71
537459,10.18,5.69,112,11,82,75
537462,7.42,3.15,89,6,58,67
537463,14.27,12.38,585,24,124,171
537464,8.36,5.09,234,10,68,108
537465,9.91,4.55,218,9,78,104
537467,2.83,1.04,51,2,22,50
537468,8.35,6.09,167,12,70,91
537470,4.2,2.05,21,4,33,32
537472,21.0,13.01,126,25,172,79
537476,183.33,104.08,550,204,1487,166
537484,24.29,21.09,680,41,211,184
537489,18.86,10.73,396,21,153,141
537509,144.0,67.88,288,133,1141,120
537523,6.78,3.67,61,7,54,55
537534,1.98,3.73,115,7,21,76
537538,10.92,7.35,131,14,90,81
537567,4.17,9.97,125,20,49,79
537592,53.6,54.23,268,106,481,116
537593,23.08,16.78,300,33,195,122
537594,9.12,7.42,155,15,79,88
537595,1.83,1.2,44,2,15,47
537598,5.71,2.33,80,5,45,63
537601,6.89,6.68,62,13,61,56
537603,14.2,8.99,213,18,117,103
537604,11.47,10.4,516,20,100,161
537605,4.33,1.72,52,3,33,51
537606,9.0,10.18,279,20,83,118
537607,4.62,2.45,74,5,37,61
537608,5.0,4.76,235,9,44,108
537609,19.67,13.8,236,27,165,109
537612,12.2,13.15,122,26,111,78
537614,4.57,6.93,137,14,46,83
537615,4.0,1.22,20,2,30,32
537617,9.5,6.99,76,14,80,62
537618,59.75,53.42,956,105,523,219
537619,19.43,8.77,136,17,153,82
537620,9.0,3.52,54,7,70,52
537621,2.5,0.58,10,1,18,22
537622,4.96,7.17,114,14,49,75
537623,4.52,5.68,199,11,43,100
537624,2.9,4.73,171,9,29,92
537625,6.0,3.63,36,7,49,42
537626,10.29,7.6,319,15,87,126
537627,39.67,25.61,476,50,328,154
537628,11.81,8.14,189,16,99,97
537629,10.61,7.33,191,14,88,98
537633,1.0,0.0,5,0,7,16
537634,3.44,2.75,62,5,29,56
537635,15.0,4.24,30,8,113,39
537636,10.67,6.11,32,12,87,40
537637,1.0,0.0,4,0,7,14
537638,2.41,3.37,1448,7,24,269
537640,14.77,26.79,2201,52,155,332
537641,1.75,1.54,138,3,15,83
537642,2.1,2.97,256,6,21,113
537643,2.19,3.54,269,7,22,116
537645,2.37,4.41,254,9,26,113
537646,1.66,1.83,133,4,16,82
537648,12.32,5.63,271,11,97,116
537649,5.14,4.74,36,9,45,42
537650,9.54,5.8,124,11,78,79
537653,2.27,2.47,84,5,21,65
537654,2.19,2.73,46,5,20,48
537655,7.12,3.83,57,8,58,53
537657,558.0,408.22,2790,799,4705,373
537658,40.0,6.93,120,14,294,77
537659,409.89,405.39,3689,794,3663,429
537665,16.83,38.78,101,76,194,71
537666,2.13,2.18,1144,4,19,239
537668,10.0,2.83,20,6,76,32
537669,11.67,1.0,105,2,84,72
537670,15.1,10.03,151,20,126,87
537671,9.67,7.38,145,14,82,85
537672,10.11,11.36,182,22,93,95
537673,19.86,12.23,139,24,163,83
537674,13.16,5.18,250,10,102,112
537676,26.75,38.38,214,75,262,103
537678,14.78,13.98,133,27,130,82
537679,4.8,4.32,24,8,42,35
537680,13.31,6.85,173,13,106,93
537681,25.0,11.18,175,22,197,94
537682,18.0,12.0,72,23,149,60
537683,12.0,7.99,240,16,100,110
537685,9.0,6.09,171,12,75,92
537686,49.33,1.15,148,2,347,86
537688,14.21,7.93,270,16,115,116
537689,16.94,13.6,288,27,146,120
537690,14.67,8.04,220,16,119,105
537691,8.15,5.74,163,11,68,90
537692,8.68,8.62,434,17,78,147
537693,11.0,9.35,121,18,95,78
537694,4.5,3.67,63,7,38,56
537698,113.0,180.91,452,354,1145,150
537700,22.67,22.03,68,43,202,58
537707,12.57,10.88,176,21,109,94
537738,8.47,3.57,144,7,66,85
537743,7.22,4.12,65,8,59,57
537751,8.0,5.66,16,11,67,28
537754,2.41,1.59,53,3,20,51
537755,22.0,28.74,198,56,210,99
537757,10.75,3.85,86,8,83,66
537758,11.8,9.11,118,18,101,77
537759,9.0,3.95,108,8,71,73
537760,26.5,30.87,106,60,246,73
537762,10.19,8.46,275,17,88,117
537764,1.38,0.98,62,2,12,56
537765,2.13,3.9,81,8,23,64
537766,72.0,0.0,288,0,504,120
537768,10.0,0.0,20,0,70,32
537769,1.77,1.93,94,4,16,69
537770,11.73,6.32,176,12,94,94
537771,22.67,15.59,204,31,190,101
537772,2.61,2.83,172,6,24,93
537773,2.12,1.56,146,3,18,85
537774,49.0,16.12,196,32,375,99
537775,11.67,7.86,525,15,97,162
537780,8.5,9.42,51,18,78,50
537781,1.81,2.27,291,4,17,121
537789,15.29,10.57,214,21,128,103
537791,6.0,2.83,12,6,48,24
537792,3.33,3.85,70,8,31,59
537793,57.07,72.17,1655,141,540,288
537794,3.15,3.05,189,6,28,97
537795,6.13,3.4,92,7,50,68
537796,41.33,85.57,248,168,457,111
537799,5.0,3.0,55,6,41,52
537800,7.5,3.47,75,7,60,61
537801,8.6,5.46,43,11,71,46
537802,6.33,3.8,190,7,51,97
537803,5.0,0.0,10,0,35,22
537804,8.92,3.71,116,7,69,76
537806,10.5,3.41,105,7,80,72
537808,8.53,18.76,145,37,97,85
537809,3.71,3.82,26,7,33,36
537811,37.0,18.38,74,36,295,61
537813,16.57,9.29,116,18,134,76
537815,10.53,6.02,158,12,86,89
537816,9.67,12.5,29,24,92,38
537817,10.86,9.01,76,18,94,62
537818,8.0,4.25,424,8,64,146
537819,16.82,13.77,286,27,145,120
537822,12.17,12.29,365,24,109,135
537823,2.51,4.52,1484,9,27,272
537825,4.21,3.32,118,6,36,77
537826,4.95,5.69,104,11,46,72
537828,11.03,6.26,331,12,89,129
537829,13.68,9.02,260,18,114,114
537830,4.47,6.05,67,12,43,58
537831,3.55,1.57,39,3,28,44
537837,21.64,25.13,303,49,200,123
537839,1.0,0.0,9,0,7,21
537840,6.87,5.1,103,10,58,72
537842,4.69,3.93,75,8,41,61
537843,6.56,5.22,59,10,56,54
537844,2.47,4.3,94,8,25,69
537845,3.0,0.0,12,0,21,24
537846,26.0,39.22,130,77,259,81
537847,10.67,9.03,64,18,93,57
537850,12.64,5.96,316,12,100,126
537851,37.71,32.07,264,63,327,115
537852,19.36,22.91,1665,45,181,289
537854,24.0,8.49,120,17,185,77
537855,2.97,2.36,95,5,26,69
537858,1.36,0.92,15,2,12,27
537859,3.69,3.95,96,8,34,69
537861,7.83,8.01,47,16,71,48
537862,10.14,6.94,71,14,85,60
537864,17.0,7.14,238,14,133,109
537865,5.68,4.38,125,9,49,79
537866,30.44,29.01,274,57,270,117
537867,5.0,2.65,75,5,40,61
537868,23.38,15.5,1730,30,194,294
537871,4.92,9.45,123,18,52,78
537879,7.0,3.55,56,7,56,53
537880,10.75,4.95,172,10,85,93
537881,19.83,17.86,238,35,174,109
537882,11.25,13.89,45,27,106,47
537883,12.0,0.0,60,0,84,55
537884,18.5,16.12,111,32,162,74
537885,4.31,2.85,69,6,36,59
537886,11.0,7.67,110,15,92,74
537887,53.2,43.49,532,85,457,163
537888,12.57,8.92,440,17,105,148
537889,9.63,7.45,260,15,82,114
537890,6.0,0.0,36,0,42,42
537891,7.2,2.68,36,5,55,42
537892,8.5,6.92,85,14,74,65
537894,16.21,11.66,227,23,136,107
537895,18.4,11.52,92,23,152,68
537896,11.21,7.73,157,15,94,89
537897,8.23,5.57,107,11,69,73
537898,4.35,3.59,87,7,37,66
537900,9.62,11.39,231,22,89,107
537901,22.67,15.14,68,30,189,58
537915,9.08,6.26,118,12,76,77
537955,1.78,2.38,89,5,17,67
537963,10.64,9.76,149,19,94,86
537967,3.0,2.65,9,5,26,21
537981,538.5,582.5,2154,1140,4910,328
537995,7.64,6.12,84,12,65,65
538000,8.5,4.95,17,10,70,29
538002,4.71,5.96,80,12,45,63
538003,22.7,26.42,454,52,211,151
538005,40.0,27.71,120,54,334,77
538006,32.0,0.0,64,0,224,57
538007,8.36,4.54,92,9,68,68
538008,13.59,7.07,557,14,109,167
538009,8.97,8.01,287,16,79,120
538010,8.0,3.74,40,7,63,45
538011,5.75,6.28,184,12,52,96
538012,1.66,0.61,48,1,13,49
538013,7.31,6.54,95,13,64,69
538014,11.54,2.96,150,6,87,87
538015,6.24,6.59,131,13,57,81
538032,5.8,2.7,58,5,46,54
538035,3.12,5.54,231,11,33,107
538037,12.0,7.48,60,15,99,55
538040,3.62,3.34,217,7,32,104
538044,5.33,5.86,16,11,48,28
538048,26.0,14.14,52,28,210,51
538049,1.6,0.55,8,1,12,20
538051,5.31,5.28,154,10,47,88
538053,22.5,18.74,675,37,194,184
538056,4.92,4.84,118,9,43,77
538057,19.09,11.29,210,22,156,102
538064,3.25,1.73,78,3,26,62
538065,9.04,6.02,208,12,75,102
538067,2.54,1.82,66,4,22,57
538068,41.58,123.03,499,241,532,158
538069,3.62,3.14,239,6,31,109
538070,4.8,3.35,24,7,41,35
538071,2.52,3.43,1643,7,25,287
538073,1.6,0.97,16,2,13,28
538076,10.07,20.1,141,39,110,84
538077,8.21,10.31,394,20,77,140
538078,6.65,7.49,173,15,62,93
538079,11.18,10.91,190,21,99,97
538080,12.22,7.58,110,15,101,74
538086,5.34,5.93,203,12,49,101
538087,4.0,0.0,16,0,28,28
538093,10.42,3.81,344,7,80,131
538094,7.73,9.07,85,18,72,65
538095,1.68,0.89,67,2,14,58
538096,1.0,0.0,3,0,7,12
538097,13.07,9.19,196,18,109,99
538104,4.96,4.24,129,8,43,80
538106,4.38,6.7,57,13,44,53
538107,8.89,4.81,80,9,71,63
538108,13.06,9.3,222,18,109,105
538113,5.94,3.23,95,6,48,69
538116,13.33,4.7,240,9,102,110
538117,12.0,0.0,36,0,84,42
